Ticker,AEM,AVDV,CVX,DFIV,EEM,FNV,GLD,HL,IVAL,O,PAAS,SCHH,SLV,SPY,SU,VNQ,WPM,XOM,^NSEI
AEM,1.0,0.4339677889300823,0.08327458778800238,0.35733761935869135,0.36693182480206976,0.8086454929208062,0.7537699150649838,0.6898687041333857,0.3200621976880232,0.23575637790956974,0.7935779254805857,0.24193355630013885,0.6484395704267926,0.1785899226016906,0.17026097553082475,0.24244764917447195,0.8675682034534958,0.07390681601267661,0.04869125370867892
AVDV,0.4339677889300823,1.0,0.4147539179205205,0.9445660121825366,0.7633470000289807,0.4267204722222148,0.36013566801264063,0.47195783339446445,0.9036340291693196,0.32513717318143365,0.49223491321715424,0.5586349062687088,0.4106444189578288,0.6879691384664227,0.49384696797055666,0.578924312260596,0.45476472570755455,0.3721628856518545,0.16953347586145517
CVX,0.08327458778800238,0.4147539179205205,1.0,0.476694262683375,0.30880891896841733,0.1334884548026234,0.053797779472773255,0.15738977676875052,0.4118529511966736,0.1833529926709761,0.17805679621190015,0.28853307153721136,0.1358188080260191,0.38821323246430917,0.6910008787538402,0.2954742794094536,0.08585321311498917,0.8171896228970049,0.044396511929179816
DFIV,0.35733761935869135,0.9445660121825366,0.476694262683375,1.0,0.7534480659860656,0.3838548027834598,0.2718489189579134,0.41751418608385216,0.9081010319377929,0.33864743738458675,0.41705890665406714,0.5637908806909486,0.359450840180326,0.6925735755927559,0.5313106716370879,0.5825667331924508,0.39243986938063224,0.4424177505402123,0.15320697417738458
EEM,0.36693182480206976,0.7633470000289807,0.30880891896841733,0.7534480659860656,1.0,0.35617561919234486,0.31084698083629486,0.40444407030805024,0.7032885209334216,0.24656133773066494,0.42447719388277566,0.44747830902032254,0.41037699310217735,0.6778670877674088,0.361211308556135,0.4691648160504396,0.38056164246196433,0.2525122901722231,0.23257950318790546
FNV,0.8086454929208062,0.4267204722222148,0.1334884548026234,0.3838548027834598,0.35617561919234486,1.0,0.6342780854600827,0.6214296672826664,0.3413396628398764,0.24826417910481377,0.6899757550676163,0.2508091847058593,0.5504307166535324,0.2155605943076519,0.2319046514345145,0.25492451280210376,0.787715723596602,0.1331854602256251,0.04596176005756997
GLD,0.7537699150649838,0.36013566801264063,0.053797779472773255,0.2718489189579134,0.31084698083629486,0.6342780854600827,1.0,0.5863593204870823,0.26349118671464156,0.167295116870538,0.6664996697650039,0.14697266193592112,0.7250811187460025,0.0726604620084358,0.12701651738692368,0.14412593829532605,0.724327791491707,0.06476330494713835,0.025541312694175755
HL,0.6898687041333857,0.47195783339446445,0.15738977676875052,0.41751418608385216,0.40444407030805024,0.6214296672826664,0.5863593204870823,1.0,0.37865299605952984,0.1908906912504222,0.7808251452794922,0.2645480094183814,0.6665758838801097,0.2839837653091829,0.21884185749793378,0.27704227479961846,0.6948199555266236,0.12621407185438144,0.046849264735419185
IVAL,0.3200621976880232,0.9036340291693196,0.4118529511966736,0.9081010319377929,0.7032885209334216,0.3413396628398764,0.26349118671464156,0.37865299605952984,1.0,0.28985239912845545,0.36848465658364726,0.5115991815108705,0.3175985237766959,0.6478046120100501,0.4663949810356168,0.533323986278866,0.3508027400895643,0.3711761004818418,0.16065058547411104
O,0.23575637790956974,0.32513717318143365,0.1833529926709761,0.33864743738458675,0.24656133773066494,0.24826417910481377,0.167295116870538,0.1908906912504222,0.28985239912845545,1.0,0.19754319506514853,0.7471129835911966,0.14294330626632565,0.25884705597324603,0.1112699989342316,0.7300778255184764,0.21830434764924223,0.19024026954284684,0.025155234950738955
PAAS,0.7935779254805857,0.49223491321715424,0.17805679621190015,0.41705890665406714,0.42447719388277566,0.6899757550676163,0.6664996697650039,0.7808251452794922,0.36848465658364726,0.19754319506514853,1.0,0.27808732308954004,0.726957311955004,0.27353438926422735,0.2168172977630183,0.2831281294320608,0.7888219247904464,0.15517449798976027,0.020585382058298667
SCHH,0.24193355630013885,0.5586349062687088,0.28853307153721136,0.5637908806909486,0.44747830902032254,0.2508091847058593,0.14697266193592112,0.2645480094183814,0.5115991815108705,0.7471129835911966,0.27808732308954004,1.0,0.18912442693995205,0.5702973967933214,0.24441852729226812,0.9943296460807852,0.25152178423176363,0.26403930976102175,0.05311284868571585
SLV,0.6484395704267926,0.4106444189578288,0.1358188080260191,0.359450840180326,0.41037699310217735,0.5504307166535324,0.7250811187460025,0.6665758838801097,0.3175985237766959,0.14294330626632565,0.726957311955004,0.18912442693995205,1.0,0.21393281151940569,0.18961358284304386,0.19400276000829683,0.6712493960971292,0.14174327160752026,0.034903197412449016
SPY,0.1785899226016906,0.6879691384664227,0.38821323246430917,0.6925735755927559,0.6778670877674088,0.2155605943076519,0.0726604620084358,0.2839837653091829,0.6478046120100501,0.25884705597324603,0.27353438926422735,0.5702973967933214,0.21393281151940569,1.0,0.36122308955863613,0.5996566887585469,0.2183695317326057,0.2981815355961299,0.11641732428357378
SU,0.17026097553082475,0.49384696797055666,0.6910008787538402,0.5313106716370879,0.361211308556135,0.2319046514345145,0.12701651738692368,0.21884185749793378,0.4663949810356168,0.1112699989342316,0.2168172977630183,0.24441852729226812,0.18961358284304386,0.36122308955863613,1.0,0.25146660214846545,0.17746419854847478,0.7242929949222712,0.031086312430330346
VNQ,0.24244764917447195,0.578924312260596,0.2954742794094536,0.5825667331924508,0.4691648160504396,0.25492451280210376,0.14412593829532605,0.27704227479961846,0.533323986278866,0.7300778255184764,0.2831281294320608,0.9943296460807852,0.19400276000829683,0.5996566887585469,0.25146660214846545,1.0,0.2590295550573138,0.2687621129325094,0.057662179533188966
WPM,0.8675682034534958,0.45476472570755455,0.08585321311498917,0.39243986938063224,0.38056164246196433,0.787715723596602,0.724327791491707,0.6948199555266236,0.3508027400895643,0.21830434764924223,0.7888219247904464,0.25152178423176363,0.6712493960971292,0.2183695317326057,0.17746419854847478,0.2590295550573138,1.0,0.08938481151609265,0.036915340840539414
XOM,0.07390681601267661,0.3721628856518545,0.8171896228970049,0.4424177505402123,0.2525122901722231,0.1331854602256251,0.06476330494713835,0.12621407185438144,0.3711761004818418,0.19024026954284684,0.15517449798976027,0.26403930976102175,0.14174327160752026,0.2981815355961299,0.7242929949222712,0.2687621129325094,0.08938481151609265,1.0,0.01673127385021759
^NSEI,0.04869125370867892,0.16953347586145517,0.044396511929179816,0.15320697417738458,0.23257950318790546,0.04596176005756997,0.025541312694175755,0.046849264735419185,0.16065058547411104,0.025155234950738955,0.020585382058298667,0.05311284868571585,0.034903197412449016,0.11641732428357378,0.031086312430330346,0.057662179533188966,0.036915340840539414,0.01673127385021759,1.0
